TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
BLMO11;87,90;0,400000;7,10;98,62;0,89;8.382,00;1,65;-81,15;9,65;98.106.458,61;290,00;;994.814,00
BLMR11;6,78;0,053000;0,00;63,81;0,11;;3,50;;2,92;118.155.565,38;8.102,00;;1.851.786,00
BLOG11;8,40;0,020000;4,05;11,26;0,75;177,33;0,11;;;346.922.775,80;110,00;;30.796.704,00
BLUR11;76,03;1,010650;4,09;76,13;1,00;228,00;100,42;-14,85;1,28;6.851.720,42;1,00;Ativa;90.000,00
BMII11;0,00;0,228341;0,00;454,06;;;0,27;;;34.190.505,41;24,00;Ativa;75.300,00
BMLC11;98,05;0,700000;8,22;110,23;0,93;17.033,43;5,31;-10,77;14,91;110.049.989,25;1.232,00;;998.405,00
BNFS11;69,54;0,700000;15,68;77,91;0,90;86.867,14;7,53;-13,84;-4,65;54.538.305,59;5.635,00;;700.000,00
BPFF11;54,53;0,670000;9,77;62,15;0,88;512.062,00;4,94;1,28;5,13;279.190.787,97;20.101,00;;4.492.326,00
BPLC11;0,00;14,420464;0,00;9.977,52;;;0,37;;;324.558.767,16;127,00;;32.529,00
BPML11;90,35;0,920000;16,36;123,85;0,73;1.063.094,95;18,22;25,23;27,57;921.674.784,44;5.192,00;;7.441.745,00
BPRP11;107,50;0,925000;0,00;125,57;0,86;2.150,00;0,19;2,64;;169.496.975,27;171,00;Passiva;1.349.837,00
BRCO11;117,73;0,870000;8,98;116,40;1,02;4.545.119,27;1,83;2,61;18,07;2.097.601.850,11;124.852,00;;18.021.303,00
BRCR11;48,30;0,410000;10,41;85,57;0,57;3.013.425,59;1,08;-0,91;8,81;2.279.418.567,50;117.699,00;;26.638.202,00
BREV11;105,00;0,580000;0,00;63,81;1,65;532.138,00;3,50;8,81;2,15;118.155.565,38;8.102,00;;1.851.786,00
BRHT11B;86,80;;0,00;61,04;1,42;;0,63;;;112.414.203,93;11,00;;1.841.677,00
BRIM11;275,05;48,330000;0,00;62,79;4,38;20.384,18;156,67;;;7.794.926,79;707,00;;124.137,00
BRIP11;371,91;11,770000;11,51;557,11;0,69;12.486,15;4,10;;-2,73;120.043.154,87;440,00;;215.475,00
BROF11;59,25;0,550000;10,94;110,14;0,54;462.244,50;4,07;;;1.278.765.389,15;10.350,00;;11.610.812,00
BROL11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
BRSE11;0,00;;0,00;4.708,50;;;0,21;;;9.417.001,40;12,00;;2.000,00
BSLT11;88,25;;0,00;107,30;0,82;93.319,32;0,00;;;144.853.105,89;2.687,00;;1.350.000,00
BTAL11;88,39;0,950000;12,14;116,16;0,77;724.923,50;19,90;6,89;13,23;694.931.637,72;38.168,00;;5.982.736,00
BTCI11;9,25;0,093000;12,54;10,05;0,92;2.584.410,64;1,13;-1,29;15,86;999.918.174,08;198.581,00;;99.521.172,00
BTCR11;88,00;0,900000;0,00;63,81;1,38;571.148,00;3,50;32,78;;118.155.565,38;8.102,00;;1.851.786,00
BTHF11;9,30;0,101000;12,16;10,25;0,90;5.368.662,23;10,55;;;2.109.142.405,64;312.539,00;;205.846.940,00
BTHI11;43,57;0,305000;10,61;64,97;0,66;50.884,23;1,37;-28,17;-18,34;598.955.508,66;1.616,00;;9.218.512,00
BTHI12;45,00;0,560000;0,00;64,97;0,69;;1,37;;14,47;598.955.508,66;1.616,00;;9.218.512,00
BTHR11;0,00;0,190000;0,00;9,91;;;14,75;;;333.658.415,61;24,00;;33.675.336,00
BTLG11;102,61;0,790000;9,19;103,13;0,99;16.079.168,77;9,47;1,23;12,80;5.497.692.138,64;438.517,00;;53.310.352,00
BTML11;101,37;0,970000;11,70;127,49;0,80;0,00;3,54;;;144.584.994,58;1,00;;1.134.132,00
BTRA11;67,82;0,800000;7,66;113,35;0,60;320.308,09;16,25;-13,25;3,16;381.378.840,51;11.679,00;;3.364.559,00
BTSG11;145,92;1,000000;8,05;156,06;0,94;146,00;0,76;3,01;;120.950.379,37;106,00;;775.015,00
BTSI11;109,59;0,810000;8,69;123,64;0,89;219,00;0,07;3,01;;788.070.084,79;219,00;;6.373.961,00
BTWR11;105,49;0,600000;7,55;118,32;0,89;105,00;0,55;5,08;5,80;95.755.521,82;141,00;;809.269,00
BTYU11;9,30;0,084600;14,07;10,10;0,94;7.078,59;4,10;;;302.938.921,48;566,00;;30.000.000,00
BVAR11;1.260,89;8,280000;6,09;777,44;1,62;1.260,00;0,43;-30,25;;486.320.070,99;129,00;;625.540,00
BZEL11;0,00;5,092421;0,00;148,67;;;0,07;;;526.000.225,42;3,00;;3.538.046,00
BZLI11;19,78;;0,00;16,81;1,18;;0,00;;6,21;736.080.613,00;18,00;;43.785.754,00
CACR11;78,18;1,200000;20,17;74,73;1,07;2.129.889,18;3,00;-2,63;7,96;361.412.805,19;25.422,00;;4.836.324,00
CARE11;5,33;0,008385;0,00;6,93;0,76;7.186,73;1,70;;29,78;249.412.875,35;11.759,00;;36.006.138,00
CBOP11;40,75;0,160000;4,15;72,18;0,55;21.477,50;2,16;4,85;-0,29;102.135.370,38;2.077,00;;1.415.000,00
CCLB11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
CCME11;9,14;0,084000;10,97;10,56;0,87;245.280,14;17,41;-2,49;;715.648.527,43;9.197,00;;67.797.053,00
CCRF11;92,50;0,632531;0,00;63,81;1,45;;3,50;;3,97;118.155.565,38;8.102,00;;1.851.786,00
CCVA11;98,97;0,600000;6,68;101,84;0,97;0,00;2,02;;;63.925.511,70;1,00;;627.724,00
CENU11;100,00;;0,00;98,94;1,01;0,00;0,71;;;112.770.119,32;27,00;;1.139.780,00
CEOC11;44,70;0,430000;12,72;72,81;0,61;31.935,86;2,53;-4,31;4,71;132.209.542,81;3.809,00;;1.815.696,00
CFHI11;20,10;10,620000;308,56;26,58;0,76;40,00;154,38;;;2.514.034,94;96,00;;94.600,00
CFII11;768,97;78,000000;31,57;810,79;0,95;298,38;13,09;;;102.418.709,69;101,00;;126.319,00
CIXM11;9,04;0,150000;0,00;38,56;0,23;;1,55;;;236.270.251,15;108,00;;6.127.180,00
CIXR11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
CJCT11;64,20;0,240000;4,21;73,66;0,87;66.053,27;0,47;12,82;0,12;231.279.335,61;829,00;;3.140.000,00
CJFI11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
CLIN11;93,52;0,880000;13,21;97,51;0,95;1.145.834,77;13,16;;;423.853.815,62;12.114,00;;4.346.763,00
CNES11;1,71;0,002927;5,12;6,49;0,26;73.595,59;6,13;0,34;-5,87;221.405.992,10;82.018,00;;34.134.825,00
COPP11;103,00;0,750000;0,00;107,23;0,96;;0,61;;;511.745.359,37;114,00;;4.772.405,00
CPFF11;69,90;0,500000;0,00;62,49;1,12;0,00;8,22;-0,91;13,69;67.464.811,29;6.536,00;Ativa;1.079.696,00
CPFO11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
CPHH11;0,00;;0,00;73,46;;;30,00;;;108.236.367,68;420,00;;1.473.378,00
CPLG11;12,43;0,130000;10,35;11,07;1,13;15.805.904,09;2,83;;;482.048.142,00;961,00;;43.542.510,00
CPOF11;110,00;0,470000;5,96;107,23;1,03;35.979.370,78;0,61;;;511.745.359,37;114,00;;4.772.405,00
CPSH11;10,92;0,110000;11,74;11,40;0,96;13.807.291,36;1,09;;;908.475.497,67;27.512,00;;79.699.818,00
CPTS11;8,16;0,090000;12,60;9,18;0,89;8.579.406,41;0,18;5,12;14,19;3.197.097.104,63;355.275,00;;348.245.947,00
CPUR11;10,47;0,100000;10,69;9,80;1,09;1.072.768,05;0,22;7,85;15,88;664.693.959,53;1.550,00;;67.825.745,00
CRFF11;76,21;0,630000;10,40;86,16;0,89;14.288,91;4,63;-0,63;15,84;59.457.048,04;1.198,00;;690.040,00
CSMC11;0,00;8,195922;0,00;1.078,85;;;1,83;;;2.020.971.477,93;1,00;;1.873.259,00
CTEM11;6,00;;0,00;;;20,67;;;;;;;0,00
CTNP11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
CTXT11;4,87;0,010000;0,00;17,80;0,27;1.013,95;3,01;-23,80;-25,53;95.851.888,87;2.181,00;;5.384.912,00
CVPR11;0,00;0,845013;0,00;93,27;;;10,66;-21,59;;60.231.820,17;3,00;;645.783,00
CXAG11;76,99;0,720000;11,77;110,52;0,70;125.400,09;3,29;0,90;11,22;231.047.940,66;11.583,00;;2.090.621,00
CXCE11;41,21;0,479705;14,23;62,97;0,66;29.273,91;7,48;3,53;1,67;107.871.256,19;2.930,00;;1.712.950,00
CXCI11;72,65;0,750000;12,95;86,84;0,83;102.288,64;6,32;-2,31;10,82;178.692.556,72;5.414,00;;2.057.726,00
CXCO11;71,30;0,750000;12,24;96,30;0,74;152.438,14;1,73;-2,56;13,97;377.933.926,31;12.242,00;;3.924.500,00
CXRI11;66,26;0,620000;11,73;86,84;0,76;27.077,36;8,16;0,91;11,30;136.838.521,44;1.755,00;;1.575.760,00
CXTL11;339,35;0,616558;3,32;414,62;0,82;5.890,74;2,28;-14,71;7,42;22.222.221,15;585,00;;53.597,00
CYCR11;9,12;0,106000;14,21;9,42;0,96;610.632,64;9,85;1,71;17,58;344.222.322,40;17.578,00;;36.549.445,00
CYLD11;149,73;;0,00;207,70;0,72;256,43;0,53;;;257.936.948,64;110,00;;1.241.847,00
DAMA11;7,41;0,075323;12,74;8,42;0,91;4.546,36;2,22;;;46.614.168,47;850,00;;5.537.031,00
DAMT11B;11,45;0,582451;8,59;14,32;0,80;23,00;5,14;;-7,14;254.655.378,68;541,00;;17.779.747,00
DAYM11;4,19;0,035000;4,89;9,94;0,42;11.957,41;5,51;;-16,00;170.001.254,40;798,00;;17.100.937,00
DEVA11;24,27;0,300000;19,15;98,08;0,25;1.149.617,86;5,50;-13,27;-24,60;1.377.513.358,51;80.230,00;;14.044.908,00
DLMT11;0,00;0,001617;0,00;0,51;;;1,59;-16,91;;6.801.386,29;9,00;;13.225.796,00
DMAC11;13,00;4,894618;0,00;63,81;0,20;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
DOMC11;439,00;;0,00;110,49;3,97;;0,66;;;560.577.455,58;1.095,00;;5.073.615,00
DOVL11B;784,35;10,421659;10,49;575,96;1,36;0,00;5,85;-5,16;;38.247.354,91;101,00;;66.406,00
DPRO11;6,34;0,060000;11,40;9,15;0,67;1.021,50;1,43;-5,63;-6,20;45.757.275,31;742,00;;5.003.220,00
DRIT11;8,68;0,520000;17,05;133,56;0,07;1.246,00;23,67;8,28;-55,80;61.876.341,24;338,00;Ativa;463.277,00
DVFF11;5,90;0,065000;13,13;8,73;0,68;108.242,77;3,91;-4,52;6,27;96.130.695,06;1.994,00;;11.009.500,00
DVLP11;150,29;;0,00;149,67;1,00;11.412,50;1,55;;;99.286.323,37;306,00;;663.375,00
DVLT11;99,58;;0,00;99,65;1,00;0,00;7,89;;;30.940.678,15;208,00;;310.503,00
EAGL11;0,00;;0,00;93,71;;;0,34;;;174.179.207,41;14,00;;1.858.798,00
EDFO11;125,00;0,897950;9,16;210,83;0,61;4.620,40;1,47;-17,22;-13,69;49.755.902,04;464,00;;236.000,00
EDGA11;13,59;0,062479;3,88;45,04;0,30;11.142,23;0,74;-13,07;-8,43;171.694.610,08;3.750,00;;3.812.055,00
EDGE11;1.071,80;79,240000;7,39;1.158,54;0,93;1.071,00;30,85;;;13.246.920,81;125,00;;11.434,00
EGDB11;1.200,26;;0,00;972,83;1,23;44.576,60;0,19;;;96.198.960,89;2.584,00;;98.886,00
EGYR11;2,98;;0,00;148,50;0,02;1.010,67;0,00;;-42,77;113.212.251,70;89,00;;762.353,00
EIRA11;103,26;1,240000;10,40;104,25;0,99;11.019,91;4,15;;;20.901.127,19;122,00;;200.490,00
ELDO11;762,38;0,350000;16,07;1.808,00;0,42;;0,18;11,83;;1.423.360.282,86;113,00;;787.256,00
EMET11;9,57;0,340000;9,71;9,82;0,99;3.708,05;0,49;;;49.087.405,21;102,00;;5.000.000,00
EQIR11;8,56;0,100000;14,08;9,61;0,89;144.625,86;9,86;-2,73;13,02;104.817.507,69;9.794,00;;10.909.315,00
ERCR11;15.707,85;1.868,750000;0,00;14.305,53;1,10;0,00;0,90;;;33.989.943,79;9,00;;2.376,00
ERPA11;126,98;0,930000;8,75;165,58;0,77;19.943,00;1,00;9,02;9,02;82.941.209,51;741,00;;500.922,00
ESTQ11;0,00;;0,00;0,01;;;100,06;;;946.040,07;5,00;;65.361.974,00
EURO11;320,04;2,080000;7,25;397,60;0,82;38.025,14;1,84;2,10;21,90;152.651.058,79;2.020,00;;383.936,00
EXES11;9,44;0,130000;16,56;9,84;0,96;153.105,55;12,40;17,72;;138.719.067,59;1.569,00;;14.101.455,00
FAED11;159,95;1,756119;12,60;222,40;0,72;72.952,09;1,54;3,40;17,60;153.986.723,68;4.004,00;;692.377,00
FAGL11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
FAMB11;1.055,26;45,426656;0,00;1.829,61;0,56;48.361,81;2,31;45,38;12,92;224.197.286,29;2.034,00;;122.538,00
FAOE11;926,90;11,160900;0,00;0,00;;;;;;0,00;0,00;Ativa;0,00
FARU11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
FATN11;87,29;0,800000;10,97;96,17;0,91;1.728.427,14;1,78;-1,35;7,04;515.784.317,28;24.463,00;;5.363.161,00
FCAS11;0,00;0,121915;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
FCFL11;126,22;0,945788;8,53;124,59;1,02;95.082,05;0,49;3,25;12,66;432.812.166,50;2.948,00;;3.474.010,00
FGPM11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
FIGS11;48,33;0,480000;11,60;70,36;0,69;332.429,05;0,59;1,15;12,24;200.539.154,89;11.630,00;;2.850.000,00
FIIB11;475,00;3,100000;9,27;590,95;0,80;426.078,41;0,98;1,63;10,54;404.801.667,59;14.951,00;;685.000,00
FIIC11;0,00;;0,00;-0,70;;;;;;-4.029,68;1,00;;5.738,00
FIIP11;149,51;1,400000;11,16;199,50;0,75;441.942,55;2,13;-0,24;3,57;184.972.951,36;6.000,00;;927.162,00
FINF11;0,00;0,204090;0,00;110,65;;;1,16;-4,68;;90.746.838,44;4,00;;820.112,00
FISC11;65,50;0,560000;8,41;111,07;0,59;1.444,46;0,87;5,22;;188.816.790,90;226,00;;1.699.996,00
FISD11;149,33;6,526269;0,00;45,71;3,27;0,00;3,88;;;49.029.942,44;22,00;;1.072.588,00
FIVN11;2,82;;0,00;5,86;0,44;5.000,36;0,03;;-9,73;55.155.502,21;4.382,00;;9.412.630,00
FLCR11;94,57;1,100000;14,07;94,60;1,00;171.682,86;19,48;-0,21;13,81;71.122.415,86;2.802,00;;751.844,00
FLFL11;0,00;0,180000;0,00;137,64;;;0,84;;;475.443.929,58;1,00;;3.454.262,00
FLMA11;161,50;1,030000;8,18;250,30;0,63;65.167,18;1,03;5,26;17,37;345.582.817,27;11.359,00;;1.380.670,00
FLNR11;1.273,88;;0,00;1.216,55;1,05;0,00;0,12;;;154.726.149,62;125,00;;127.184,00
FLRP11;20,80;0,150000;8,91;21,08;1,00;13.844,14;1,08;4,05;18,92;158.716.173,29;1.853,00;;7.528.783,00
FMOF11;38,96;1,550000;37,21;46,21;0,84;4.896,73;19,02;54,33;15,86;23.473.206,35;356,00;;508.008,00
FOFT11;123,00;1,900000;0,00;7,00;17,57;;2,33;-47,71;;250.509.603,82;11.454,00;Ativa;35.769.919,00
FPAB11;202,00;1,800000;9,15;360,78;0,61;5.791,44;6,02;3,58;25,47;270.588.315,42;680,00;;750.000,00
FPNG11;465,05;4,830000;1,04;212,52;2,19;155,00;3,56;15,77;;646.778.554,67;142,00;;3.043.447,00
FRHY11;0,00;1,030000;0,00;8,36;;;69,71;;;1.091.035,36;7,00;;130.500,00
FTCE11B;34.508,82;32,568789;0,16;2.872,01;12,02;16.782.232.734,75;3,02;;;3.805.210.105,72;124,00;;1.324.930,00
FVBI11;94,97;0,369573;0,00;63,81;1,49;;3,50;142,93;;118.155.565,38;8.102,00;;1.851.786,00
FVPQ11;67,41;0,400000;7,85;92,62;0,73;134.243,50;1,49;-20,73;-3,79;259.358.627,20;3.726,00;;2.800.149,00
FYTO11;8,66;0,107000;14,36;9,87;0,88;184.121,95;5,10;-0,24;7,83;150.854.781,12;10.547,00;;15.281.388,00
GAME11;9,07;0,100000;13,55;9,65;0,95;122.109,50;1,34;-1,28;14,47;235.062.877,90;21.438,00;;24.370.630,00
GARE11;8,59;0,083000;11,61;9,32;0,92;16.493.654,32;1,34;0,00;11,74;2.696.608.836,98;446.255,00;;289.186.438,00
GCDL11;117,86;;0,00;110,77;1,06;38.922,86;13,79;;;43.876.731,21;2.008,00;;396.111,00
GCFF11;69,30;0,750000;0,00;63,81;1,09;;3,50;;0,14;118.155.565,38;8.102,00;;1.851.786,00
GCOI11;72,87;3,011600;8,25;76,60;0,95;27.690,00;49,63;;;8.656.094,83;384,00;;113.000,00
GCRI11;66,51;0,800000;15,15;91,60;0,73;149.786,68;1,02;-6,17;3,89;133.170.216,44;4.236,00;;1.453.859,00
GESE11B;1.520,00;14,973763;0,00;63,81;23,82;;3,50;118,15;;118.155.565,38;8.102,00;;1.851.786,00
GFDL11;110,93;0,160000;0,14;98,49;1,13;15.191,47;3,40;;;25.107.775,82;1.780,00;;254.927,00
GGRC11;10,00;0,100000;12,03;11,22;0,89;9.928.183,59;4,89;1,36;13,57;2.403.988.581,33;257.326,00;;214.249.664,00
GLCR11;100,57;0,900000;8,69;101,08;1,00;8.584,20;2,03;;;36.398.809,50;832,00;;360.110,00
GLOG11;69,34;0,410000;7,03;108,83;0,64;41.608,14;1,90;-14,28;-0,25;81.622.819,25;1.714,00;;750.000,00
GLPF11;105,49;0,908500;9,95;101,45;1,04;37.272,43;0,50;;;152.686.106,07;2.459,00;;1.505.000,00
GLPL11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
GRLV11;104,51;0,170000;0,00;63,81;1,64;;3,50;135,25;;118.155.565,38;8.102,00;;1.851.786,00
GRUL11;8,95;0,080000;12,53;9,59;0,95;302.131,09;2,56;;;236.754.321,96;4.861,00;;24.700.000,00
GSFI11;10,96;;0,00;13,57;0,81;16.190.528,27;1,47;;28,97;1.304.609.949,64;6.273,00;;96.106.666,00
GTLG11;63,99;0,840000;0,00;63,81;1,00;;3,50;;-12,35;118.155.565,38;8.102,00;;1.851.786,00
GTWR11;83,15;0,900000;12,66;101,42;0,82;915.315,82;2,05;3,56;17,11;1.216.981.053,03;33.833,00;;12.000.000,00
GURB11;108,00;0,700000;0,00;127,49;0,85;;3,54;;;144.584.994,58;1,00;;1.134.132,00
GVBI11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
GZIT11;49,65;0,780000;19,04;91,08;0,54;804.204,68;2,73;;;1.989.217.119,09;7.296,00;;21.841.231,00
HAAA11;57,39;0,080000;6,85;64,77;0,89;6.831,59;1,66;0,45;-4,90;223.781.223,07;226,00;;3.455.000,00
HABT11;75,69;0,950000;16,36;95,18;0,79;1.281.939,86;1,42;-2,60;9,51;773.516.933,16;56.849,00;;8.126.783,00
HBCR11;138,00;0,540000;13,67;116,82;1,18;32.189,59;0,03;39,55;;186.913.394,77;38,00;;1.600.000,00
HBTT11;1.055,00;16,580000;0,00;63,81;16,53;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
HCHG11;80,10;0,700000;10,80;95,91;0,84;74.037,00;25,75;-1,81;12,35;115.089.930,77;569,00;;1.200.000,00
HCPR11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
HCRI11;310,99;3,318412;16,97;276,21;1,12;37.036,91;1,72;16,54;26,33;55.242.140,96;2.970,00;;200.000,00
HCST11;45,00;;0,00;60,03;0,75;225,00;0,02;;;52.277.034,18;55,00;;870.918,00
HCTR11;21,40;0,270000;17,44;105,74;0,20;1.308.880,50;0,89;-12,99;-28,88;2.336.448.804,37;130.689,00;;22.084.202,00
HDEL11;101,50;15,300000;28,90;93,60;1,08;11.451,73;26,76;;;78.623.798,46;108,00;;840.000,00
HDOF11;90,00;;0,00;93,71;0,96;396.043,00;0,13;;;315.811.701,48;119,00;;3.370.000,00
HFOF11;6,76;0,060000;9,99;7,82;0,87;2.691.519,18;1,81;-3,66;12,30;1.767.429.762,07;93.410,00;;226.128.872,00
HGBL11;9,28;0,072000;9,49;9,47;0,99;312.251,36;1,14;;;248.779.678,26;4.529,00;;26.261.802,00
HGBS11;20,02;0,160000;9,30;20,75;0,96;4.324.029,32;1,40;-3,11;13,27;2.679.452.110,69;144.640,00;;129.133.010,00
HGCR11;95,43;0,950000;12,92;98,40;0,97;3.980.307,64;5,55;-2,32;10,41;1.517.166.398,05;100.257,00;;15.418.106,00
HGFF11;62,38;1,990000;10,82;71,18;0,88;1.552.502,00;18,73;8,82;6,56;203.824.815,19;14.789,00;;2.863.597,00
HGIC11;68,30;0,585800;13,44;110,54;0,62;4.758,14;6,13;-8,67;-1,62;51.145.797,41;650,00;;462.706,00
HGLG11;156,79;1,100000;8,43;166,58;0,94;15.082.224,55;1,18;-0,99;7,69;7.063.626.090,23;525.069,00;;42.404.675,00
HGPO11;148,59;1,750000;0,00;149,63;1,00;243.415,68;1,19;104,42;20,76;262.306.641,70;9.171,00;;1.753.057,00
HGRE11;124,73;0,850000;10,04;147,73;0,85;2.984.752,23;1,96;6,46;13,86;1.745.796.942,27;140.628,00;;11.817.767,00
HGRS11;0,00;8,300000;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
HGRU11;125,91;0,950000;9,77;129,41;0,97;6.525.033,91;0,83;0,27;12,52;3.007.316.899,86;227.764,00;;23.238.024,00
HILG11;184,96;13,142400;24,51;285,24;0,65;0,00;10,01;;;150.110.935,52;104,00;;526.253,00
HLMB11;0,00;;0,00;898,65;;;6,92;;;49.101.893,79;49,00;;54.639,00
HLOG11;9,33;0,070000;9,43;11,94;0,78;49.766,59;4,69;4,96;10,90;507.400.634,13;4.010,00;;42.500.000,00
HMOC11;226,95;23,800000;0,00;63,81;3,56;;3,50;122,18;;118.155.565,38;8.102,00;;1.851.786,00
HOFC11;30,34;0,210000;0,00;58,31;0,54;640.722,00;3,78;-22,89;12,51;220.369.952,99;4.574,00;;3.779.001,00
HOMS11;122,81;;0,00;89,90;1,37;31.909,29;1,43;;;39.519.033,45;3.029,00;;439.581,00
HOSI11;83,60;0,253600;7,28;121,16;0,69;8.039,57;1,66;-3,06;22,03;69.477.364,30;1.085,00;;573.450,00
HPDP11;88,00;0,560000;7,64;96,64;0,91;949.569,25;12,35;0,81;15,88;317.740.938,93;374,00;;3.288.000,00
HPDR11;0,00;;0,00;;;;;;;;;;0,00
HRDF11;3,47;6,800000;0,00;8,70;0,40;665,06;10,49;;-8,97;13.205.940,61;870,00;;1.517.425,00
HREC11;8,33;0,080000;12,35;8,86;0,94;192.569,73;0,37;-0,48;15,76;458.124.302,33;2.470,00;;51.685.917,00
HRES11;141,53;0,815900;25,42;146,65;0,97;2.140.733,00;14,85;;;68.667.512,81;137,00;;468.241,00
HSAF11;81,13;0,950000;13,99;88,92;0,92;2.006.035,05;12,55;2,46;15,52;224.642.053,64;8.662,00;;2.526.360,00
HSLG11;91,61;0,720000;8,92;109,88;0,83;865.694,91;4,77;-2,61;14,84;1.391.042.296,69;40.337,00;;12.660.067,00
HSML11;92,45;0,700000;8,72;104,83;0,88;4.108.935,73;6,04;-3,32;16,21;2.236.031.475,09;184.837,00;;21.329.976,00
HSRE11;105,48;0,850000;10,07;87,93;1,20;31.309,32;4,84;13,05;9,53;782.429.972,69;407,00;;8.898.724,00
HTMX11;137,51;1,000000;10,94;150,87;0,91;631.646,14;5,61;-15,59;29,11;435.716.588,99;35.503,00;;2.888.094,00
HUCG11;94,63;0,793000;5,19;128,03;0,74;3.204,50;0,67;;11,08;143.650.516,91;237,00;;1.122.000,00
HUSC11;96,01;1,050000;10,82;149,77;0,64;3.526,00;1,52;1,58;7,83;127.430.260,03;752,00;;850.821,00
HUSI11;1.220,00;8,684500;9,38;1.250,77;0,98;1.220,00;2,27;3,03;10,63;145.541.572,75;100,00;;116.362,00
HYPI11;180,54;1,148300;63,59;2,75;65,65;363,00;211,74;;;3.588.476,04;109,00;;1.306.304,00
IBBP11;8,50;0,073600;10,22;9,44;0,90;32.055,68;0,88;;;512.312.809,57;867,00;;40.720.580,00
IBCR11;49,59;0,600000;20,24;91,05;0,55;347.169,73;1,63;-7,23;0,86;87.264.491,58;3.981,00;;958.423,00
IBFF11;66,40;0,296485;0,00;63,81;1,04;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
ICNE11;769,63;9,428158;18,55;663,53;1,16;9.994.415,00;0,28;;;79.623.368,87;6,00;;120.000,00
ICRI11;94,02;0,950000;12,96;101,19;0,92;1.145.070,00;4,75;;;390.339.518,35;9.466,00;;3.857.359,00
IDFI11;2,00;0,034026;0,00;1,60;1,25;0,00;101,44;-50,79;-36,44;3.283.391,87;617,00;Ativa;2.057.925,00
IDGR11;1,50;0,008834;0,00;0,00;;0,00;;;-46,60;0,00;0,00;Ativa;883.359,00
IDUA11;64,42;0,544173;14,07;60,39;1,07;0,00;23,80;;;24.294.417,00;1,00;;402.311,00
IMOV11;0,00;0,236700;0,00;9,58;;;15,95;;;508.393.862,46;13.027,00;;53.092.572,00
INDE11;76,00;;0,00;111,49;0,68;3.800,00;1,00;;;49.940.140,19;181,00;;447.921,00
INLG11;77,46;0,600000;11,46;106,07;0,73;284.541,14;0,87;4,27;1,30;478.585.896,50;15.723,00;;4.512.103,00
INRD11;77,21;0,670000;9,80;119,10;0,66;38.199,00;1,41;4,15;12,13;134.595.711,36;6.183,00;;1.130.086,00
IRDM11;58,31;1,250056;14,15;78,62;0,74;5.300.561,00;3,42;-0,50;-1,64;2.959.621.783,69;258.917,00;;37.642.399,00
IRIM11;64,85;0,690000;15,42;84,14;0,81;5.006.287,05;1,63;-4,06;2,99;2.963.771.750,16;226.197,00;;35.225.947,00
ISCJ11;50,71;0,350584;46,98;0,00;;10.174,00;;;;0,00;0,00;;0,00
ITIP11;66,47;0,690000;13,46;70,04;0,95;56.051,55;1,97;-0,41;6,21;52.402.893,53;7.699,00;;748.151,00
ITIT11;73,11;0,610000;10,11;81,37;0,90;100.830,95;1,39;0,87;8,55;73.276.908,35;9.362,00;;900.494,00
ITRI11;85,09;0,850000;11,87;95,50;0,90;1.152.256,45;3,34;;;596.891.327,21;13.416,00;;6.250.000,00
IVCI11;96,86;1,340000;13,34;98,85;0,98;0,00;25,87;;;49.423.785,19;16,00;;500.000,00
JASC11;100,00;0,700000;8,02;114,41;0,87;2.637,30;2,87;10,09;5,94;440.614.271,46;168,00;;3.851.187,00
JBFO11;15,03;0,043000;0,78;7,76;1,94;0,00;100,61;-19,38;;9.919.792,95;369,00;;1.279.070,00
JCCJ11;157,99;1,770000;4,69;195,68;0,81;23.529,05;1,31;;;957.608.663,67;244,00;;4.893.685,00
JCDA11;0,00;;0,00;28,86;;;0,24;;;441.636.646,83;104,00;;15.303.215,00
