TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
TJKB11;255,50;2,900000;13,94;287,16;0,89;82.757,45;1,87;5,71;;334.434.286,47;465,00;;1.164.647,00
TMPS11;84,70;0,850000;11,79;96,91;0,88;303.340,18;2,91;;;94.876.290,29;1.900,00;;978.968,00
TOPP11;75,10;0,840000;13,42;106,09;0,71;948.793,91;0,99;;;480.413.559,87;4.715,00;;4.528.240,00
TORD11;1,76;0,006000;8,20;36,72;0,05;32.281,73;4,30;-53,85;-60,37;212.583.174,34;46.674,00;;5.841.933,00
TORM13;142,00;10,562960;0,00;63,81;2,23;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
TOUR11;8,80;0,242328;0,00;63,81;0,14;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
TRBL11;69,85;0,700000;10,22;82,82;0,84;795.853,45;1,84;-8,55;2,09;640.957.237,62;46.256,00;;7.739.092,00
TRNT11;93,60;0,070000;0,00;163,55;0,57;63.335,42;3,04;-14,19;-7,18;643.666.521,50;511,00;;3.935.562,00
TRPL11;1,05;;0,00;0,99;1,06;16.388,17;150,41;;;9.942.752,54;2,00;;10.000.000,00
TRXB11;180,79;3,000000;15,36;101,51;1,77;6.171.120,41;2,15;27,12;32,56;380.245.915,90;604,00;;3.746.020,00
TRXF11;93,15;0,930000;12,71;103,01;0,90;24.027.891,27;10,05;1,18;7,36;3.347.054.221,02;217.198,00;;32.493.284,00
TRXY11;9,45;0,110000;14,17;9,22;1,03;64.056,45;3,90;;;147.313.137,40;997,00;;15.970.289,00
TSER11;97,00;1,010000;13,12;96,81;1,00;194,00;5,21;1,37;8,74;143.810.780,96;19,00;;1.485.504,00
TSNC11;80,00;7,361195;0,00;79,45;1,01;80,00;6,46;-38,46;;86.348.492,00;104,00;;1.086.780,00
TSNM11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
TVRI11;98,30;1,050000;12,72;104,34;0,94;1.056.068,59;3,48;4,67;16,77;1.661.003.760,44;60.159,00;;15.919.690,00
URHF11;73,01;1,050000;19,66;95,74;0,77;11.268,68;17,78;;;10.570.833,93;281,00;;110.417,00
URPR11;37,52;0,350000;15,61;103,26;0,36;953.758,77;0,84;-26,40;-17,10;1.211.591.957,57;63.411,00;;11.733.895,00
VCHG11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
VCJR11;81,37;0,880000;14,08;94,12;0,88;2.246.951,41;4,51;2,12;10,13;1.385.751.292,02;27.085,00;;14.723.970,00
VCRI11;7,62;0,090000;14,63;9,50;0,80;213.168,27;7,27;-0,74;9,09;195.238.576,96;13.388,00;;20.543.663,00
VCRR11;65,40;0,400000;9,02;105,16;0,62;267.659,86;3,97;-11,14;8,03;210.326.815,24;3.087,00;;2.000.000,00
VCTH11;104,39;;0,00;96,03;1,09;;5,64;;;68.749.580,77;173,00;;715.952,00
VDSV11;0,00;;0,00;822,16;;;8,62;;;31.354.633,88;84,00;;38.137,00
VERE11;123.378,28;3,000000;0,03;493,56;249,98;2.308.614.170,15;1,41;18,62;;315.462.815,99;0,00;;639.156,00
VGHF11;7,13;0,070000;14,04;8,67;0,82;3.316.329,18;0,07;-8,37;4,89;1.428.102.142,84;386.781,00;;164.721.683,00
VGII11;72,84;0,650000;3,75;72,60;1,00;145,00;1,19;;;37.667.403,40;8,00;;518.865,00
VGIP11;80,73;0,710000;14,07;90,33;0,90;2.211.909,18;1,77;2,48;12,67;1.064.701.931,68;84.201,00;;11.787.247,00
VGIR11;9,82;0,130000;15,19;9,82;1,00;5.879.551,27;0,90;0,91;15,54;1.434.329.594,84;257.056,00;;146.101.287,00
VGRI11;8,14;0,120000;17,93;8,34;0,98;748.431,68;3,99;;;291.934.586,80;23.157,00;;35.021.736,00
VIDS11;915,64;16,058793;11,90;798,22;1,15;0,00;10,35;;;75.513.802,97;199,00;;94.603,00
VIFI11;6,96;0,070000;1,01;0,00;;0,00;;5,09;8,83;0,00;0,00;Ativa;0,00
VILG11;100,54;0,800000;8,56;113,28;0,88;3.063.890,18;1,72;2,54;11,29;1.698.931.170,80;142.566,00;;14.997.396,00
VINO11;5,52;0,045000;11,35;9,86;0,56;1.303.384,45;3,81;-4,49;-3,26;816.316.591,78;136.047,00;;82.826.295,00
VISC11;107,99;0,840000;8,99;117,99;0,92;7.214.604,64;2,47;-3,48;11,13;3.401.483.209,09;336.893,00;;28.828.640,00
VIUR11;5,80;0,206700;16,62;8,08;0,72;491.130,18;12,92;3,78;7,94;217.777.994,35;40.863,00;;26.946.220,00
VJFD11;148,01;0,850000;7,38;170,80;0,87;2.664,00;1,40;4,61;;832.834.160,32;104,00;;4.876.129,00
VLIQ11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
VLJS11;1.141,14;28,819221;0,00;654,76;1,74;;0,03;;;17.068.751,32;9,00;;26.068,00
VLOL11;88,00;1,856441;0,00;63,81;1,38;0,00;3,50;14,56;-3,49;118.155.565,38;8.102,00;;1.851.786,00
VOTS11;80,41;0,710000;10,37;93,75;0,86;1.826,10;7,49;-9,17;10,50;77.620.296,77;545,00;;827.913,00
VPPR11;21,28;0,070000;0,00;41,59;0,51;109.702,59;3,61;-42,64;-8,82;304.289.598,09;33.419,00;;7.316.171,00
VPSI11;22,38;0,360900;13,34;33,60;0,67;22,00;0,92;7,57;;271.231.635,80;125,00;;8.071.897,00
VRTA11;78,95;0,850000;12,94;84,33;0,94;1.536.291,45;5,45;1,45;7,80;1.314.889.906,26;107.241,00;;15.592.424,00
VRTM11;7,30;0,090000;14,84;9,36;0,78;418.852,50;4,77;;;439.813.333,90;12.000,00;;46.971.245,00
VSEC11;0,21;0,080000;0,00;63,81;0,00;;3,50;-0,62;-83,16;118.155.565,38;8.102,00;;1.851.786,00
VSHO11;75,91;0,680000;10,75;114,38;0,67;23.046,32;1,11;-1,50;17,83;240.062.735,01;2.943,00;;2.098.800,00
VSLH11;2,17;0,027000;16,70;10,23;0,21;151.511,23;4,30;-5,40;-24,12;305.365.567,56;63.720,00;;29.864.091,00
VTBL11;0,00;1,544600;0,00;84,35;;;0,00;;;19.105.850,77;1,00;;226.505,00
VTLT11;88,98;1,262349;15,55;90,55;0,98;12.462.404,00;1,31;6,44;12,25;191.517.274,18;5.533,00;;2.115.000,00
VTPA11;0,00;;0,00;104,60;;;0,12;;;69.032.247,13;1,00;;659.957,00
VTPL11;64,25;0,751604;4,67;119,68;0,54;66,00;0,76;;;165.909.411,12;125,00;;1.386.242,00
VTRT11;0,00;0,107508;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
VTVI11;0,00;;0,00;22,03;;;2,37;;;39.242.099,04;1,00;;1.780.984,00
VTXI11;0,00;;0,00;2,64;;;6,74;;;273.238,99;2,00;;103.500,00
VVCO11;14,86;0,323281;0,00;15,14;0,99;109.600,05;0,09;;19,09;149.870.184,87;2.486,00;;9.900.000,00
VVCR11;9,92;0,137651;12,80;10,24;0,97;4.492,82;0,42;-28,47;8,60;76.903.879,05;2.130,00;;7.508.332,00
